Hostname,Target,Sample Date YMD,Sample Time HHMM,Count in seconds,Incoming traffic in bps (avg day),Outgoing traffic in bps (avg day),Peak inbound traffic in bps,Peak outbound traffic in bps
sites,GigabitEthernet1/0,6/1/2021,2:00,1622505600,8940186.7,33770626.8,79534015.6,96415804.4
sites,GigabitEthernet1/0,6/2/2021,2:00,1622592000,7750057.3,67668493.5,80323598.2,102041931.6
sites,GigabitEthernet1/0,6/3/2021,2:00,1622678400,9577612.8,4080472.6,70154548.5,67164951.1
sites,GigabitEthernet1/0,6/4/2021,2:00,1622764800,7117750.9,1756429.9,94649460.6,20100150.2
sites,GigabitEthernet1/0,6/5/2021,2:00,1622851200,6978136.6,2364887,108965315.6,78438879
sites,GigabitEthernet1/0,6/6/2021,2:00,1622937600,2740645.2,2213646.2,8603102,80235556.3
sites,GigabitEthernet1/0,6/7/2021,2:00,1623024000,2599394.7,246885.5,4651369.4,5658219.7
sites,GigabitEthernet1/0,6/8/2021,2:00,1623110400,7699953.1,2163700.6,70717723.2,19385090.2
sites,GigabitEthernet1/0,6/9/2021,2:00,1623196800,8155251,1940013.9,68973228.1,9058627.8
sites,GigabitEthernet1/0,6/10/2021,2:00,1623283200,7447837.3,4938828,41699293.8,44834305.3
sites,GigabitEthernet1/0,6/11/2021,2:00,1623369600,6890554.4,2691492.6,78504006.2,11245492.8
sites,GigabitEthernet1/0,6/12/2021,2:00,1623456000,4927279.7,2089917.5,45326736.7,10877137.7
sites,GigabitEthernet1/0,6/13/2021,2:00,1623542400,209283.1,2064557.3,5909854.4,81492706.9
sites,GigabitEthernet1/0,6/14/2021,2:00,1623628800,78599.6,88658.7,545810.8,1069098.8
sites,GigabitEthernet1/0,6/15/2021,2:00,1623715200,5316311.8,2961486.2,60229329.8,12912301.9
sites,GigabitEthernet1/0,6/16/2021,2:00,1623801600,6332605.2,10786071.3,45661220.3,103198649.7
sites,GigabitEthernet1/0,6/17/2021,2:00,1623888000,5477104.1,3234438,50093456.3,16236464.8
sites,GigabitEthernet1/0,6/18/2021,2:00,1623974400,5751119.4,1939030.7,54861674.4,19850844.9
sites,GigabitEthernet1/0,6/19/2021,2:00,1624060800,5623020.2,2217500.7,88210994,25398804.4
sites,GigabitEthernet1/0,6/20/2021,2:00,1624147200,757882.4,1775819.2,23564865.6,74374151.7
sites,GigabitEthernet1/0,6/21/2021,2:00,1624233600,878381.9,318577.8,20337913.6,3139300.5
sites,GigabitEthernet1/0,6/22/2021,2:00,1624320000,9329978.9,2387893.2,103661254,28624354.1
sites,GigabitEthernet1/0,6/23/2021,2:00,1624406400,10314905.8,11128523.6,54713085.3,96661852.8
sites,GigabitEthernet1/0,6/24/2021,2:00,1624492800,15327906.8,2378739.6,91825584,15051316.9
sites,GigabitEthernet1/0,6/25/2021,2:00,1624579200,21279842.6,8240419.6,109405107.3,82756685.3
sites,GigabitEthernet1/0,6/26/2021,2:00,1624665600,10922614,2092529.5,80289365.5,54811712.5
sites,GigabitEthernet1/0,6/27/2021,2:00,1624752000,256542.1,5430802.3,6323341.8,88041979.3
sites,GigabitEthernet1/0,6/28/2021,2:00,1624838400,70514,86464,1380918.3,1183978.3
sites,GigabitEthernet1/0,6/29/2021,2:00,1624924800,7406368.1,1837359.7,83851156.1,25632332.3
sites,GigabitEthernet1/0,6/30/2021,2:00,1625011200,7842547,6243240.9,64386650.2,98875772.9
sites,GigabitEthernet1/0,7/1/2021,2:00,1625097600,27215967.3,3411846.1,109744598.8,72126563.3
sites,GigabitEthernet1/0,7/2/2021,2:00,1625184000,8847226.6,2542177.1,76557516.7,19243907.2
sites,GigabitEthernet1/0,7/3/2021,2:00,1625270400,12840283.7,2044366.1,83574701.9,14140503.4
sites,GigabitEthernet1/0,7/4/2021,2:00,1625356800,229403,1972369.5,5908608,64151012.7
sites,GigabitEthernet1/0,7/5/2021,2:00,1625443200,55592.3,136868.9,366070.2,4652126.4
sites,GigabitEthernet1/0,7/6/2021,2:00,1625529600,7316463.8,2662636.6,61778980.9,14808374.5
sites,GigabitEthernet1/0,7/7/2021,2:00,1625616000,6597111.8,2732406.7,67939024.2,17387721.5
sites,GigabitEthernet1/0,7/8/2021,2:00,1625702400,5245277.9,3344382,66839097.2,44522279.3
sites,GigabitEthernet1/0,7/9/2021,2:00,1625788800,6129338.6,1523612.4,80900686.6,10435132.4
sites,GigabitEthernet1/0,7/10/2021,2:00,1625875200,5865879.4,7574405.5,83762746.6,87282340.7
sites,GigabitEthernet1/0,7/11/2021,2:00,1625961600,198702.8,2391727.5,5922524.8,72811641.9
sites,GigabitEthernet1/0,7/12/2021,2:00,1626048000,260364.3,996993.2,6923749.4,4290377.8
sites,GigabitEthernet1/0,7/13/2021,2:00,1626134400,13042047.4,2326801.1,107991683.3,11551101.1
sites,GigabitEthernet1/0,7/14/2021,2:00,1626220800,6956258,1669601,76270526.2,10759830.4
sites,GigabitEthernet1/0,7/15/2021,2:00,1626307200,2312708.8,551380.7,39466324.1,4600756.4
sites,GigabitEthernet1/0,7/16/2021,2:00,1626393600,11447661.8,2420838.2,109573486.7,97492944.7
sites,GigabitEthernet1/0,7/17/2021,2:00,1626480000,8722013.3,1178985.8,72142581.5,8999759
sites,GigabitEthernet1/0,7/18/2021,2:00,1626566400,2689151.8,1518585.2,8517096.2,59527402
sites,GigabitEthernet1/0,7/19/2021,2:00,1626652800,2589793,96030.2,3404464.1,483704.6
sites,GigabitEthernet1/0,7/20/2021,2:00,1626739200,10013000.6,4472041.5,82465642.6,34310101.1
sites,GigabitEthernet1/0,7/21/2021,2:00,1626825600,9348522.7,1711061.5,73559753.1,21846126.5
sites,GigabitEthernet1/0,7/22/2021,2:00,1626912000,10217520.9,1097893.8,106685083.7,7081689.8
sites,GigabitEthernet1/0,7/23/2021,2:00,1626998400,18986267.2,1456503.7,107209681.6,8005179.1
sites,GigabitEthernet1/0,7/24/2021,2:00,1627084800,13664623.7,753770.8,109419729,4915732.6
sites,GigabitEthernet1/0,7/25/2021,2:00,1627171200,1900216.6,1541628.7,5924325.2,78121100.6
sites,GigabitEthernet1/0,7/26/2021,2:00,1627257600,1713058.7,88371.7,3219731.3,482679.3
sites,GigabitEthernet1/0,7/27/2021,2:00,1627344000,8583051.2,4081751.4,59346796.9,81816947.4
sites,GigabitEthernet1/0,7/28/2021,2:00,1627430400,15404908.6,2694073.6,107613122.7,21939564.2
sites,GigabitEthernet1/0,7/29/2021,2:00,1627516800,6247717.6,3611840.3,41696260.1,19916957.5
sites,GigabitEthernet1/0,7/30/2021,2:00,1627603200,7360567.7,2202087.7,82607109.4,9354629.4
sites,GigabitEthernet1/0,7/31/2021,2:00,1627689600,4825914.2,3873274.7,86564733.6,15840341.2
sites,GigabitEthernet1/0,8/1/2021,2:00,1627776000,973792.5,1291777.4,6578950.2,52203961.6
